鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
前鎮區,房地(土地+建物),高雄市前鎮區文橫三路31~60號,4.23,商,,,1081230,土地1建物1車位0,四層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860227,38.4,1,1,1,有,有,1980000,51563,,0.0,0,原價200萬元整廁所部賣方折貳萬元補貼買方天花板側牆上方龜裂整修,RPWNMLRKJHPFFCE88CA
前鎮區,房地(土地+建物),高雄市前鎮區鎮榮里鎮川五巷121~150號,50.0,住,,,1081127,土地1建物1車位0,全,二層,透天厝,,加強磚造,0580201,72.2,5,2,4,有,無,2000000,27701,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLRKJHPFFCE48CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區和平二路211~240號,25.8,住,,,1081118,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081018,196.06,4,2,2,有,有,13880000,70795,坡道平面,26.41,0,,RPUNMLKLJHPFFCE08CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區和平二路211~240號,25.8,住,,,1081116,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081018,222.48000000000002,4,2,2,有,有,15200000,68321,坡道平面,52.82,0,,RPVNMLKLJHPFFCE18CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區和平二路211~240號,13.17,住,,,1081118,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081018,109.99,2,1,1,有,有,7400000,67279,坡道平面,24.65,0,,RPWNMLKLJHPFFCE28CA
前鎮區,房地(土地+建物),高雄市前鎮區漁港路31~60號,101.11,住,,,1081130,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0810925,246.7,6,2,4,有,無,8000000,32428,,0.0,0,含5樓增建及陽台外推等未保存登記部分。,RPRQMLLLJHPFFCE18CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區光華二路1~30號,15.44,住,,,1081210,土地2建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1060608,157.88,3,2,2,有,有,12850000,77824,坡道平面,15.25,1750000,,RPVNMLLLJHPFFCE28CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區光華二路1~30號,15.39,住,,,1081208,土地2建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1060608,157.88,3,2,2,有,有,12890000,77403,坡道平面,15.25,1850000,,RPSNMLLLJHPFFCE97CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區南寧街1~30號,16.49,住,,,1081217,土地2建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1060608,168.98,3,2,2,有,有,13290000,74416,坡道平面,15.25,1850000,,RPTNMLLLJHPFFCE08CA
前鎮區,房地(土地+建物),高雄市前鎮區英德街19巷20弄1~30號,113.43,住,,,1081216,土地2建物1車位0,全,四層,透天厝,見其它登記事項,見其它登記事項,1070619,306.47,5,2,4,有,無,26650000,86958,,0.0,0,,RPRNMLOKJHPFFCE08CA
