,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
1359,西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段211~240號,20.4,住,,,1081215,土地1建物1車位1,十二層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880212,174.05,3,1,2,有,有,9800000,56306,坡道機械,0.0,0,,RPSOMLRKJHPFFCB28CA
1390,南屯區,房地(土地+建物),臺中市南屯區向上路五段1~30號,9.1,住,,,1081218,土地1建物1車位0,十三層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861128,120.58,5,2,2,有,有,7200000,59711,,0.0,0,,RPUNMLMJKHPFFCB87CA
5,鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路541~570號,33.9,住,,,1081205,土地1建物1車位3,二十一層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020313,385.08000000000004,2,2,3,有,有,38950000,98670,坡道平面,49.62,5850000,含裝潢,RPQNMLTJJHPFFAE18CA
37,前鎮區,房地(土地+建物),高雄市前鎮區文橫三路31~60號,3.76,商,,,1081130,土地1建物1車位0,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860227,33.66,1,1,1,有,有,2300000,68330,,0.0,0,,RPSNMLNJJHPFFCE97CA
41,前鎮區,房地(土地+建物)+車位,高雄市前鎮區沱江街121~150號,21.55,住,,,1081218,土地1建物1車位1,七層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800702,222.81,4,2,2,有,有,9850000,44208,坡道平面,0.0,0,,RPOPMLSJJHPFFCE28CA
44,三民區,房地(土地+建物)+車位,高雄市三民區天祥二路1~30號,20.85,住,,,1081207,土地1建物1車位2,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030831,221.42000000000002,3,2,2,有,有,13200000,59615,坡道平面,46.46,0,,RPPOMLQJJHPFFDE18CA
51,三民區,房地(土地+建物)+車位,高雄市三民區正忠路31~60號,22.22,商,,,1081130,土地1建物1車位1,三層,28.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040906,358.48,4,2,3,有,有,19500000,54247,坡道平面,28.51,1600000,,RPTNMLQJJHPFFDE48CA
52,三民區,房地(土地+建物)+車位,高雄市三民區天祥二路1~30號,17.6,住,,,1081213,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030831,173.19,3,2,2,有,有,10360000,59819,坡道平面,23.23,0,,RPXNMLQJJHPFFDE88CA
55,三民區,房地(土地+建物)+車位,高雄市三民區陽明路239巷1~30號,23.06,住,,,1081103,土地1建物1車位1,五層，電梯樓梯間,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820927,150.46,3,2,2,有,有,5850000,38881,坡道平面,0.0,0,,RPQPMLNKJHPFFDE18CA
58,左營區,房地(土地+建物)+車位,高雄市左營區重立路782巷1~30號,14.97,住,,,1081208,土地1建物1車位1,八層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840526,140.0,3,2,2,有,有,5850000,41786,坡道機械,0.0,0,,RPQOMLMJJHPFFEE97CA
62,楠梓區,房地(土地+建物)+車位,高雄市楠梓區秀群路499巷7弄1~30號,9.22,商,,,1081209,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020531,136.04999999999998,3,2,2,有,有,6880000,50570,坡道平面,0.0,0,,RPRNMLNJJHPFFEE08CA
64,楠梓區,房地(土地+建物),高雄市楠梓區青埔街70巷1~30號,13.52,商,,,1081208,土地1建物1車位0,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011109,134.79000000000002,3,2,2,有,有,5800000,43030,,0.0,0,含增建或未登記建物。,RPVNMLNJJHPFFEE48CA
69,左營區,房地(土地+建物)+車位,高雄市左營區先勝路91~120號,17.94,住,,,1081125,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960402,161.16,3,2,2,有,有,7500000,46538,坡道平面,17.73,0,,RPRNMLQJJHPFFEE38CA
71,左營區,房地(土地+建物)+車位,高雄市左營區曾子路511~540號,10.52,住,,,1081130,土地1建物1車位1,十二層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850830,140.14000000000001,4,2,2,有,有,6760000,48237,坡道機械,0.0,0,含增建或未登記建物。,RPTOMLQJJHPFFEE68CA
72,左營區,房地(土地+建物)+車位,高雄市左營區榮總路181~210號,13.02,住,,,1081127,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950629,144.04,3,2,2,有,無,7380000,51236,坡道平面,27.13,0,附裝潢及家電,RPVOMLQJJHPFFEE88CA
74,左營區,房地(土地+建物)+車位,高雄市左營區城峰路1~30號,14.2,住,,,1081207,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970410,126.52,3,2,2,有,有,6350000,50190,坡道機械,0.0,0,,RPVPMLQJJHPFFEE98CA
78,左營區,房地(土地+建物),高雄市左營區翠華路601巷91~120號,25.11,住,,,1081221,土地1建物1車位0,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890124,154.54000000000002,3,2,2,有,無,5000000,32354,,0.0,0,,RPXOMLPKJHPFFEE09CA
80,楠梓區,房地(土地+建物),高雄市楠梓區土庫二路181~210號,8.74,住,,,1081020,土地2建物1車位0,十六層,20.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030626,82.74,2,2,1,有,有,4330000,52333,,0.0,0,,RPRNMLQKJHPFFEE48CA
81,楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫三路251巷1~30號,17.76,住,,,1081215,土地2建物1車位1,五層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010817,161.52,3,2,2,有,有,6580000,40738,坡道平面,0.0,0,,RPQQMLQKJHPFFEE68CA
89,岡山區,房地(土地+建物)+車位,高雄市岡山區岡山路89巷1~30號,34.48,住,,,1081216,土地1建物1車位1,十三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950512,173.73000000000002,2,2,2,有,有,6800000,39141,坡道平面,0.0,0,買方經過2次看屋，已詳細了解標的物屋內情況，同意現況交屋，賣方不負瑕疵擔保責任。附家電傢俱。,RPUOMLPKJHPFFFE88CA
144,鳳山區,房地(土地+建物),高雄市鳳山區四維街121~150號,25.39,住,,,1081214,土地2建物4車位0,十三層,13.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0890725,164.85,3,2,2,有,有,3800000,23051,,0.0,0,,RPWNMLOKKHPFFGE56DA
209,岡山區,房地(土地+建物)+車位,高雄市岡山區岡山路151~180號,16.31,住,,,1081201,土地1建物1車位1,十三層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821220,133.1,3,2,2,有,有,4850000,36439,升降機械,0.0,0,,RPTNMLRJJHPFFFE78CA
215,左營區,房地(土地+建物)+車位,高雄市左營區福山里博愛四路361~390號,11.37,商,,,1081218,土地1建物1車位1,十六層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021202,238.53,4,2,2,有,有,17900000,74891,坡道平面,21.95,1680000,,RPXPMLKLJHPFFEE78CA
219,左營區,房地(土地+建物)+車位,高雄市左營區重立路146巷1~30號,18.36,住,,,1081211,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0880616,145.69,3,2,2,有,有,7000000,48047,坡道平面,0.0,0,,RPVQMLOKJHPFFEE98CA
221,左營區,房地(土地+建物)+車位,高雄市左營區新榮街61~90號,26.88,住,,,1081111,土地1建物1車位2,二十一層,28.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030704,317.67,3,2,3,有,有,28710000,90377,坡道平面,44.56,0,,RPTOMLOKJHPFFEE58CA
223,左營區,房地(土地+建物),高雄市左營區保靖街61~90號,10.54,商,,,1081217,土地1建物1車位0,十層,14.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0920813,95.9,3,2,2,有,有,5900000,61522,,0.0,0,,RPOOMLSJJHPFFEE38CA
225,楠梓區,房地(土地+建物),高雄市楠梓區德賢路220巷31~60號,15.03,住,,,1081024,土地1建物1車位0,四層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831213,118.52,3,2,2,有,有,4100000,34593,,0.0,0,,RPXPMLQJJHPFFEE56CA
228,左營區,房地(土地+建物)+車位,高雄市左營區重忠路1~30號,12.03,商,,,1081216,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940225,140.74,2,2,2,有,有,6550000,46540,坡道平面,16.32,0,,RPSOMLRJJHPFFEE68CA
240,三民區,房地(土地+建物),高雄市三民區明仁路151~180號,11.59,住,,,1081201,土地1建物1車位0,五層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960626,133.38,3,2,2,有,有,9550000,71600,,0.0,0,,RPRNMLOJJHPFFDE08CA
242,三民區,房地(土地+建物)+車位,高雄市三民區明仁路1~30號,17.43,住,,,1081203,土地3建物2車位1,九層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831103,153.44,2,2,1,有,有,7300000,47576,坡道平面,0.0,0,,RPUNMLRJJHPFFDE68CA
246,小港區,房地(土地+建物)+車位,高雄市小港區青山街93巷31~60號,16.59,住,,,1081127,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970311,158.20999999999998,3,2,2,有,有,6400000,40453,坡道平面,27.2,0,附傢俱,RPPOMLQKJHPFFCE18CA
278,鼓山區,房地(土地+建物)+車位,高雄市鼓山區大順一路991~1020號,15.92,住,,,1081123,土地1建物1車位1,二十三層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840707,191.10000000000002,4,2,2,有,有,8350000,43694,坡道平面,0.0,0,,RPOOMLRKJHPFFAE97CA
280,鼓山區,房地(土地+建物),高雄市鼓山區美術東六街61~90號,33.38,住,,,1081118,土地1建物1車位0,一層，二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930805,224.78,3,2,3,有,有,26600000,118338,,0.0,0,,RPROMLPKJHPFFAE08CA
281,鼓山區,房地(土地+建物)+車位,高雄市鼓山區馬卡道路391~420號,18.54,住,,,1081205,土地1建物1車位1,十九層,28.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010411,210.53,3,2,2,有,有,15600000,74099,坡道平面,16.61,0,,RPQOMLKKJHPFFAE47CA
283,鼓山區,房地(土地+建物),高雄市鼓山區龍勝路121~150號,7.77,商,,,1081119,土地1建物1車位0,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950809,79.57,2,2,1,有,有,5300000,66608,,0.0,0,,RPXNMLNKJHPFFAE38CA
284,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東三路1~30號,20.8,住,,,1081130,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940531,163.87,4,2,2,有,有,11500000,68454,坡道平面,22.17,1800000,,RPOPMLTJJHPFFAE18CA
287,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街121~150號,13.24,商,,,1081115,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951101,147.82,3,2,2,有,有,8000000,54120,坡道平面,21.5,0,,RPQNMLRJJHPFFAE97CA
289,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北三路211~240號,13.92,商,,,1081219,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951030,136.7,3,2,2,有,有,8380000,61302,坡道平面,0.0,0,,RPSOMLQJJHPFFAE18CA
293,鼓山區,房地(土地+建物),高雄市鼓山區河西一路1441~1470號,11.48,住,,,1081206,土地1建物1車位0,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960510,81.95,2,1,1,有,有,5300000,64674,,0.0,0,,RPOOMLTJJHPFFAE08CA
294,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南二路70巷31~60號,17.64,住,,,1081202,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960510,146.26999999999998,3,2,2,有,有,10000000,68367,坡道平面,19.51,0,,RPPNMLKKJHPFFAE27CA
295,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術館路61~90號,28.3,住,,,1081202,土地2建物1車位2,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951013,221.16,4,2,2,有,有,14500000,65563,坡道平面,31.0,0,,RPWNMLQKJHPFFAE58CA
297,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街181~210號,17.98,商,,,1081209,土地1建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941129,151.05,3,2,2,有,有,9700000,64217,坡道平面,0.0,1500000,,RPRPMLLLJHPFFAE87CA
298,苓雅區,房地(土地+建物),高雄市苓雅區光明街61~90號,7.56,商,,,1081213,土地1建物1車位0,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960515,86.89,2,1,1,有,有,6000000,69053,,0.0,0,,RPSPMLQJJHPFFBE38CA
308,苓雅區,房地(土地+建物),高雄市苓雅區自強三路151~180號,9.7,商,,,1081209,土地1建物1車位0,十三層，見其他登記事項,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970919,102.66999999999999,3,2,2,有,有,6600000,64284,,0.0,0,含增建或未登記建物。;,RPSNMLTJJHPFFBE48CA
315,前鎮區,房地(土地+建物)+車位,高雄市前鎮區三多三路61~90號,12.09,商,,,1081225,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940504,152.74,3,2,2,有,有,9000000,58924,坡道平面,24.61,0,,RPPNMLRJJHPFFCE08CA
330,前鎮區,房地(土地+建物),高雄市前鎮區新光路1~30號,2.56,商,,,1081212,土地2建物1車位0,十五層,39.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0880209,74.43,2,1,1,有,有,3950000,53070,,0.0,0,,RPXOMLLLJHPFFCE58CA
331,前鎮區,房地(土地+建物)+車位,高雄市前鎮區崗山南街277巷1~30號,19.13,商,,,1081125,土地2建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880916,142.9,4,2,2,有,有,6700000,46886,坡道機械,7.33,0,,RPVOMLKMJHPFFCE38CA
338,三民區,房地(土地+建物),高雄市三民區大順二路631~660號,10.06,住,,,1081204,土地1建物1車位0,三層，電梯樓梯間,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850325,103.91,3,2,2,有,有,4350000,41863,,0.0,0,,RPXNMLRJJHPFFDE98CA
344,三民區,房地(土地+建物)+車位,高雄市三民區寶安里建武路76巷1~30號,9.22,商,,,1081125,土地2建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870122,113.3,3,2,2,有,有,4700000,41483,坡道機械,0.0,0,,RPOOMLOKJHPFFDE97CA
345,三民區,房地(土地+建物)+車位,高雄市三民區明誠一路151~180號,22.44,住,,,1081117,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010926,167.25,3,2,2,有,有,8550000,51121,坡道平面,22.2,0,,RPQNMLRKJHPFFDE38CA
350,楠梓區,房地(土地+建物),高雄市楠梓區土庫三路251巷1~30號,8.96,住,,,1081220,土地2建物1車位0,十六層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010817,79.41,2,1,1,有,有,3700000,46594,,0.0,0,,RPUOMLRJJHPFFEE88CA
352,左營區,房地(土地+建物)+車位,高雄市左營區華夏路1381~1410號,24.55,商,,,1081205,土地1建物1車位2,三十二層,35.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031210,429.67999999999995,4,2,3,有,有,30000000,69819,坡道平面,40.04,0,,RPWNMLTJJHPFFEE56CA
359,左營區,房地(土地+建物),高雄市左營區翠華路571~600號,28.31,住,,,1081122,土地1建物1車位0,十四層,16.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0871209,186.31,4,2,2,有,有,6380000,34244,,0.0,0,,RPWOMLSJJHPFFEE56CA
360,左營區,房地(土地+建物)+車位,高雄市左營區文奇路181~210號,13.23,商,,,1081207,土地2建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960530,171.06,4,2,2,有,有,10500000,61382,坡道平面,0.0,0,"含增建或未登記建物。;附贈設備：冷氣5具,沙發1組,流理台1具,瓦斯爐1具,抽油煙機1具,系統櫃1具,固定燈飾全部",RPVPMLSJJHPFFEE56CA
377,左營區,房地(土地+建物)+車位,高雄市左營區城峰路1~30號,17.17,住,,,1081207,土地1建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970410,159.01999999999998,4,2,2,有,有,8300000,52195,坡道平面,15.88,0,,RPQOMLNKJHPFFEE18CA
378,楠梓區,房地(土地+建物),高雄市楠梓區德民路1~30號,13.12,住,,,1081213,土地1建物1車位0,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941026,92.64,2,1,1,有,有,4300000,46416,,0.0,0,,RPWOMLPKJHPFFEE98CA
382,左營區,房地(土地+建物)+車位,高雄市左營區華夏路331~360號,27.82,住,,,1081117,土地1建物1車位2,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010615,286.76,4,2,2,有,有,15800000,55098,坡道平面,0.0,0,,RPQPMLQKJHPFFEE58CA
385,左營區,房地(土地+建物)+車位,高雄市左營區文自路201巷1~30號,15.64,住,,,1081204,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871106,133.38,3,2,2,有,有,7560000,56680,坡道平面,25.65,0,,RPSPMLLLJHPFFEE38CA
386,左營區,房地(土地+建物),高雄市左營區政德路5巷1~30號,9.62,住,,,1081123,土地1建物1車位0,五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840825,120.69,3,2,2,有,有,5000000,41428,,0.0,0,,RPWNMLMLJHPFFEE68CA
388,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十一街61~90號,21.59,住,,,1081128,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010111,148.76,3,2,2,有,有,6600000,44367,坡道平面,0.0,0,,RPUNMLNJKHPFFEE48CA
403,鳳山區,房地(土地+建物),高雄市鳳山區文衡路271~300號,13.98,住,,,1081211,土地1建物1車位0,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811130,90.32,3,2,2,有,有,5500000,60895,,0.0,0,含增建或未登記建物。;陽台外推,RPUPMLKKJHPFFGE58CA
406,鳳山區,房地(土地+建物),高雄市鳳山區文建街271~300號,15.81,住,,,1081207,土地1建物1車位0,十一層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840330,138.59,4,2,2,有,有,5430000,39180,,0.0,0,,RPPOMLNKJHPFFGE28CA
465,前鎮區,房地(土地+建物)+車位,高雄市前鎮區沱江街91~120號,23.81,商,,,1081211,土地1建物1車位1,十層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800702,245.07,4,2,2,有,有,9000000,36724,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRPMLSJJHPFFCE68DA
503,大社區,房地(土地+建物)+車位,高雄市大社區學府路225巷5弄31~60號,40.11,,山坡地保育區,丙種建築用地,1081128,土地1建物1車位1,一層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851008,111.86,2,2,1,有,有,3800000,33971,坡道平面,0.0,0,,RPPNMLQKJHPFFIE68CA
516,鳥松區,房地(土地+建物),高雄市鳥松區松埔北巷1~30號,5.71,,鄉村區,乙種建築用地,1081223,土地1建物1車位0,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860204,44.62,1,0,1,有,有,1300000,29135,,0.0,0,,RPQNMLRJJHPFFIE78CA
519,鳳山區,房地(土地+建物),高雄市鳳山區建國路三段391~420號,9.47,商,,,1081201,土地1建物1車位0,二十一層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840722,127.61,4,2,2,有,有,5500000,43100,,0.0,0,,RPUOMLKLJHPFFGE58CA
537,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十一街61~90號,15.45,住,,,1081215,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010111,105.37,2,2,1,有,有,4750000,45079,坡道平面,18.13,0,,RPTNMLLLJHPFFEE28CA
541,左營區,房地(土地+建物)+車位,高雄市左營區文天路121~150號,10.3,商,,,1081211,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021111,146.04,3,2,2,有,有,10480000,71761,坡道平面,20.67,0,,RPOOMLRKJHPFFEE38CA
545,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十六街27巷1~30號,18.17,商,,,1081206,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030509,179.78,3,2,2,有,有,8700000,48392,坡道平面,0.0,0,,RPORMLPKJHPFFEE48CA
546,左營區,房地(土地+建物)+車位,高雄市左營區立信路241~270號,16.18,住,,,1081127,土地1建物1車位1,十二層,13.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0880414,135.39,3,2,2,有,有,7350000,54288,坡道平面,30.25,0,,RPTQMLOKJHPFFEE78CA
558,左營區,房地(土地+建物)+車位,高雄市左營區博愛三路481~510號,10.4,住,,,1081221,土地1建物1車位1,十五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,135.65,3,2,2,有,有,6180000,45558,坡道平面,14.92,0,,RPWNMLOKJHPFFEE78CA
563,左營區,房地(土地+建物),高雄市左營區大中二路624巷1~30號,6.72,住,,,1081226,土地1建物1車位0,十七層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841020,87.25,3,2,1,有,有,3600000,41261,,0.0,0,,RPWNMLSJJHPFFEE09CA
568,左營區,房地(土地+建物)+車位,高雄市左營區文天路121~150號,10.3,商,,,1081215,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021111,140.56,3,2,2,有,有,9100000,64741,坡道機械,15.19,0,,RPROMLSJJHPFFEE68CA
582,三民區,房地(土地+建物),高雄市三民區民族一路691~720號,9.26,住,,,1081201,土地1建物1車位0,十三層，電梯樓梯間,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840906,108.07000000000001,3,2,2,有,有,4600000,42565,,0.0,0,,RPVOMLMLJHPFFDE58CA
585,三民區,房地(土地+建物)+車位,高雄市三民區明福街1~30號,17.78,住,,,1081211,土地1建物1車位1,三層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850611,143.85,3,2,2,有,有,7200000,50052,坡道平面,0.0,1000000,含增建或未登記建物。;,RPWOMLOKJHPFFDE78CA
586,三民區,房地(土地+建物)+車位,高雄市三民區鼎金後路421~450號,27.52,住,,,1080823,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030409,195.61,4,2,2,有,有,10600000,54189,坡道平面,24.21,0,,RPXPMLNKJHPFFDE88CA
590,三民區,房地(土地+建物)+車位,高雄市三民區正興路1~30號,35.36,商,,,1081216,土地1建物1車位2,二十四層，二十五層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810514,497.53000000000003,6,3,3,有,有,18600000,37385,坡道平面,0.0,0,,RPWOMLKKJHPFFDE38CA
591,三民區,房地(土地+建物)+車位,高雄市三民區自立一路85巷1~30號,22.13,商,,,1081208,土地1建物1車位1,一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,156.14,3,2,2,有,有,8930000,57192,坡道平面,0.0,0,,RPPOMLRJJHPFFDE28CA
592,小港區,房地(土地+建物)+車位,高雄市小港區高鳳路459巷1弄1~30號,12.19,住,,,1081208,土地1建物1車位1,十三層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,121.84,3,2,2,有,有,4200000,34471,坡道平面,0.0,0,"親友、員工或其他特殊關係間之交易。;總價含傢俱,家電,全新油漆。",RPQNMLOJKHPFFCE97CA
595,三民區,房地(土地+建物),高雄市三民區大豐二路181~210號,9.97,商,,,1081216,土地1建物2車位0,四層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840509,130.46,4,0,2,有,有,4680000,35873,,0.0,0,,RPXNMLSJJHPFFDE09CA
608,前鎮區,房地(土地+建物)+車位,高雄市前鎮區新光路1~30號,7.25,商,,,1081128,土地2建物1車位1,三十一層,39.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0880209,203.11,4,2,2,有,有,11490000,60529,坡道平面,34.76,1300000,,RPOOMLTJJHPFFCE28CA
619,苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路62巷1~30號,6.2,商,,,1081209,土地1建物1車位1,二十層,35.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,159.78,3,2,2,有,有,9130000,57141,坡道平面,0.0,0,含增建或未登記建物。;主臥室陽台外推,RPUOMLSJJHPFFBE68CA
626,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東八街91~120號,13.94,住,,,1081108,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920904,105.19,2,2,1,有,有,6680000,63504,坡道平面,0.0,0,,RPROMLLLJHPFFAE77CA
627,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路331~360號,20.33,商,,,1081114,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941006,199.49,4,2,2,有,有,12400000,62159,坡道平面,29.71,0,,RPQNMLLLJHPFFAE57CA
628,鼓山區,房地(土地+建物)+車位,高雄市鼓山區翠華路63巷31~60號,18.58,住,,,1081202,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970507,169.26,4,2,2,有,有,10250000,60558,坡道平面,0.0,0,,RPTOMLPKJHPFFAE28CA
629,鼓山區,房地(土地+建物),高雄市鼓山區華榮路361~390號,26.08,住,,,1081130,土地1建物1車位0,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850216,241.75,4,2,2,有,有,7700000,31851,,0.0,0,,RPPOMLPKJHPFFAE87CA
