鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,房地(土地+建物),臺北市中山區民生東路一段61~90號,8.3,商,,,1081026,土地1建物2車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700423,83.96000000000001,2,2,1,有,有,12000000,142925,,0.0,0,含增建或未登記建物。;本案為格局為打通使用。,RPSNMLQJJHPFFCA87CA
內湖區,房地(土地+建物),臺北市內湖區文湖街60巷31~60號,166.08,工,,,1081115,土地1建物1車位0,四層,五層,廠辦,工業用,鋼筋混凝土造,0790411,375.73,0,0,0,無,無,34700000,92354,,0.0,0,含增建或未登記建物。;,RPQRMLNKJHPFFCA87CA
內湖區,房地(土地+建物),臺北市內湖區文湖街60巷31~60號,162.39,工,,,1081115,土地1建物1車位0,四層,五層,廠辦,工業用,鋼筋混凝土造,0790411,365.42,0,0,0,無,無,33800000,92496,,0.0,0,含增建或未登記建物。;,RPSRMLNKJHPFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,9.54,商,,,1081202,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,135.06,1,1,1,有,有,20900000,198894,坡道機械,41.04,2200000,,RPXNMLRKJHPFFCA58CA
中山區,土地,大佳段二小段931~960地號,931.17,其他,,,1081213,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,182501000,195991,,0.0,0,,RPSRMLKLJHPFFCA87CA
中山區,房地(土地+建物)+車位,臺北市中山區林森北路301~330號,22.08,商,,,1081225,土地1建物1車位1,二層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,0920213,195.47000000000003,0,0,0,無,有,39800000,203612,塔式車位,0.0,0,,RPURMLKLJHPFFCA08CA
中山區,房地(土地+建物),臺北市中山區中山北路二段62巷1~30號,26.67,住,,,1081209,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710515,115.81,3,2,1,有,無,9300000,80304,,0.0,0,親友、員工或其他特殊關係間之交易。;親友關係人間之交易，早期買屋時部分出資並借名登記，現以現金買回全部,RPVOMLNJKHPFFCA08CA
信義區,房地(土地+建物),臺北市信義區富陽街20巷1~30號,33.04,住,,,1081206,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690103,118.15,3,2,2,有,無,13750000,116377,,0.0,0,,RPQOMLMJJHPFFDA47CA
南港區,房地(土地+建物),臺北市南港區研究院路三段68巷10弄1~30號,16.54,住,,,1081123,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,60.79,2,2,1,有,無,5900000,97055,,0.0,0,含增建或未登記建物。;,RPRNMLNJJHPFFDA57CA
信義區,房地(土地+建物),臺北市信義區光復南路511~540號,3.18,商,,,1081118,土地1建物1車位0,七層,十三層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0891124,31.299999999999997,1,1,1,有,有,8510000,271885,,0.0,0,含增建或未登記建物。依仲介公司提供之資料登錄,RPQOMLNJJHPFFDA57CA
