鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,房地(土地+建物),新北市板橋區溪崑二街31~60號,8.95,住,,,1081222,土地1建物1車位0,四層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1081031,38.53,1,1,1,有,有,5300000,137555,,0.0,0,,RPTONLRJJHPFFAF58CA
土城區,土地,清水段481~510地號,281.66,其他,,,1081209,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31184065,110715,,0.0,0,包含公共設施保留地之交易。;,RPOPNLRJJHPFFAF18CA
板橋區,房地(土地+建物)+車位,新北市板橋區僑中一街80巷1~30號,30.15,住,,,1080608,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,167.64,3,1,2,有,有,14530000,92575,坡道平面,30.13,1800000,"1.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由不動產經紀業或權利人自行提供屬實2.本車位土地價款新台幣壹佰零捌萬元整,車位建物價款新台幣柒拾貳萬元整含5%加值型營業稅3.建物價款含5%加值型營業稅",RPTQNLRJJHPFFAF78CA
板橋區,房地(土地+建物)+車位,新北市板橋區僑中一街80巷1~30號,38.24,住,,,1080615,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,209.48000000000002,4,1,2,有,有,18700000,96236,坡道平面,34.91,1900000,"1.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由不動產經紀業或權利人自行提供屬實2.本車位土地價款新台幣壹佰壹拾肆萬元整,車位建物價款新台幣柒拾陸萬元整含5%加值型營業稅3.建物價款含5%加值型營業稅",RPUQNLRJJHPFFAF88CA
板橋區,房地(土地+建物)+車位,新北市板橋區僑中一街80巷1~30號,38.24,住,,,1080810,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,209.48000000000002,4,1,2,有,有,21000000,108839,坡道平面,34.91,2000000,"1.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由不動產經紀業或權利人自行提供屬實2.本車位土地價款新台幣壹佰貳拾萬元整,車位建物價款新台幣捌拾萬元整含5%加值型營業稅4.建物價款含5%加值型營業稅",RPVQNLRJJHPFFAF98CA
板橋區,房地(土地+建物)+車位,新北市板橋區僑中一街80巷1~30號,30.41,住,,,1080602,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,173.6,3,1,2,有,有,14800000,93734,坡道平面,34.91,1800000,"1.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由不動產經紀業或權利人自行提供屬實2.本車位土地價款新台幣壹佰零捌萬元整,車位建物價款新台幣柒拾貳萬元整含5%加值型營業稅3.建物價款含5%加值型營業稅4.權利人共2人",RPWQNLRJJHPFFAF09CA
板橋區,房地(土地+建物)+車位,新北市板橋區溪崑二街31~60號,18.64,住,,,1081222,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081031,84.06,2,2,1,有,有,10500000,124911,升降機械,6.65,0,,RPVPNLRJJHPFFAF88CA
土城區,土地,大安段31~60地號,29.94,其他,,,1080925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2649468,88493,,0.0,0,包含公共設施保留地之交易。;,RPQQNLRJJHPFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區溪崑二街31~60號,18.64,住,,,1081222,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081031,84.06,2,2,1,有,有,10000000,118963,升降機械,6.65,0,,RPPQMLSJJHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區溪崑二街31~60號,18.15,住,,,1081222,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081031,77.41,2,2,1,有,有,9100000,117556,,0.0,0,,RPUQMLSJJHPFFAF88CA
板橋區,房地(土地+建物),新北市板橋區四維路181~210號,24.0,住,,,1081119,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,81.31,2,2,1,有,無,9600000,118067,,0.0,0,,RPUQMLNKJHPFFAF48CA
土城區,房地(土地+建物),新北市土城區裕生路61~90號,21.01,住,,,1081102,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691024,87.64,2,1,1,有,有,7500000,85577,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQPMLOKJHPFFAF08CA
板橋區,房地(土地+建物),新北市板橋區中正路361~390號,19.07,住,,,1080604,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800412,122.52,3,2,2,有,有,10800000,88149,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLQKJHPFFAF97CA
土城區,房地(土地+建物)+車位,新北市土城區中央路二段21巷121~150號,28.83,商,,,1081102,土地1建物1車位1,二十四層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,195.41000000000003,3,2,2,有,有,22780000,130440,坡道平面,38.02,2250000,,RPSNMLMLJHPFFAF97CA
土城區,房地(土地+建物)+車位,新北市土城區中央路二段61巷1~30號,31.0,商,,,1081102,土地1建物1車位1,十三層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,206.7,4,2,2,有,有,23530000,127342,坡道平面,38.02,2050000,,RPTNMLMLJHPFFAF08CA
土城區,房地(土地+建物)+車位,新北市土城區中央路二段61巷1~30號,31.0,商,,,1081102,土地1建物1車位1,十四層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,206.7,4,2,2,有,有,22480000,121117,坡道平面,38.02,2050000,,RPUNMLMLJHPFFAF18CA
土城區,房地(土地+建物)+車位,新北市土城區中央路二段21巷121~150號,21.14,商,,,1081102,土地1建物1車位1,二十一層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,144.7,2,2,1,有,有,17000000,134112,坡道平面,32.48,1950000,,RPVNMLMLJHPFFAF28CA
土城區,房地(土地+建物)+車位,新北市土城區中央路二段21巷91~120號,28.59,商,,,1081123,土地1建物1車位1,十四層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,193.03,3,2,2,有,有,20950000,121928,坡道平面,38.02,2050000,,RPWNMLMLJHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區中正路253巷31~60號,28.8,住,,,1081205,土地2建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691002,105.68,3,2,2,有,無,12100000,114497,,0.0,0,,RPUUOLLLJHPFFAF98CA
土城區,房地(土地+建物),新北市土城區中正路41巷8弄1~30號,32.42,住,,,1081105,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,106.01,4,1,2,有,無,9500000,89614,,0.0,0,,RPUQPLLLJHPFFAF68CA
土城區,房地(土地+建物),新北市土城區仁愛路31~60號,5.8,住,,,1081223,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850718,65.32000000000001,3,2,2,有,有,10000000,153092,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQSMLKMJHPFFAF18CA
新莊區,房地(土地+建物),新北市新莊區萬安街1~30號,28.59,住,,,1081202,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690904,90.14,3,1,1,有,無,4000000,44375,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLNJJHPFFBF38CA
林口區,房地(土地+建物),新北市林口區興林路17巷3弄1~30號,36.62,商,,,1081121,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690211,103.84,3,2,1,有,無,4850000,46706,,0.0,0,,RPTOMLNJJHPFFBF18CA
新莊區,房地(土地+建物),新北市新莊區建安街71巷1~30號,11.4,住,,,1081113,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011002,93.12,2,2,2,有,有,10160000,109118,,0.0,0,,RPWOMLNJJHPFFBF48CA
新莊區,房地(土地+建物)+車位,新北市新莊區龍安路61~90號,12.19,住,,,1081126,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021216,145.75,3,2,1,有,有,13680000,93859,坡道平面,31.77,0,,RPPNMLQJJHPFFBF97CA
新莊區,房地(土地+建物),新北市新莊區福營路271~300號,36.91,農,,,1081130,土地4建物1車位0,二層,四層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021118,81.33,2,1,1,有,有,8730000,107340,,0.0,0,,RPRNMLQJJHPFFBF18CA
新莊區,房地(土地+建物),新北市新莊區幸福路841~870號,12.34,住,,,1081201,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930415,89.07000000000001,2,2,1,有,有,9650000,108342,,0.0,0,,RPTOMLQJJHPFFBF48CA
泰山區,房地(土地+建物),新北市泰山區全興路全福巷1~30號,31.34,住,,,1081210,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701128,102.53,3,2,1,有,無,7020000,68468,,0.0,0,,RPPUMLQJJHPFFBF68CA
新莊區,房地(土地+建物),新北市新莊區民安路181~210號,22.49,住,,,1081210,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680718,82.83,3,1,1,有,無,3466350,41849,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWSMLQJJHPFFBF56CA
新莊區,房地(土地+建物)+車位,新北市新莊區豐盛一街1~30號,9.75,商,,,1081124,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060419,111.24000000000001,0,0,0,無,有,8850000,79558,坡道平面,26.94,0,,RPPTMLQJJHPFFBF58CA
林口區,房地(土地+建物)+車位,新北市林口區文林街75巷61~90號,27.74,住,,,1081216,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071026,129.31,2,1,1,有,有,7900000,67487,坡道平面,37.44,1700000,,RPWOMLSJJHPFFBF98CA
新莊區,土地,光華段661~690地號,62.39,工,,,1081224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3019200,48392,,0.0,0,親友、員工或其他特殊關係間之交易。;僅出售土地持分且為共有人間土地應有部分交易。,RPVPMLTJJHPFFBF09CA
泰山區,房地(土地+建物)+車位,新北市泰山區福興二街1~30號,21.18,住,,,1081130,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920313,134.42000000000002,3,2,2,有,無,11680000,86892,坡道平面,27.33,0,,RPXRMLTJJHPFFBF86CA
林口區,房地(土地+建物)+車位,新北市林口區文林街75巷61~90號,27.19,住,,,1081216,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071026,125.06,2,1,1,有,有,7720000,69254,坡道平面,36.69,1600000,,RPRQMLKKJHPFFBF97CA
新莊區,房地(土地+建物),新北市新莊區天祥街107巷1~30號,32.29,住,,,1081117,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690815,68.2,3,2,2,有,無,6200000,90909,,0.0,0,,RPQOMLNKJHPFFBF97CA
新莊區,房地(土地+建物)+車位,新北市新莊區後港一路151~180號,12.03,工,,,1081213,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020430,168.19,2,1,1,有,有,10800000,87021,坡道平面,73.96,2600000,,RPXRMLOKJHPFFBF09CA
新莊區,房地(土地+建物)+車位,新北市新莊區後港一路151~180號,12.03,工,,,1081213,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020430,168.19,2,1,1,有,有,10700000,85960,坡道平面,73.96,2600000,,RPTSMLOKJHPFFBF78CA
泰山區,房地(土地+建物)+車位,新北市泰山區福興二街1~30號,14.67,住,,,1081130,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920114,94.55,2,1,1,有,有,8700000,92015,坡道機械,18.07,0,,RPVNMLPKJHPFFBF58CA
林口區,房地(土地+建物)+車位,新北市林口區福林路52巷31~60號,73.43,住,,,1081216,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980320,161.12,4,2,2,有,有,10300000,63928,一樓平面,0.0,0,,RPWNMLPKJHPFFBF68CA
新莊區,房地(土地+建物)+車位,新北市新莊區立信一街31~60號,12.29,住,,,1081106,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950119,110.78999999999999,2,2,1,有,有,12100000,109216,坡道平面,18.61,0,含增建或未登記建物。;,RPPOMLPKJHPFFBF08CA
林口區,房地(土地+建物)+車位,新北市林口區忠孝路481~510號,39.78,住,,,1081113,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080226,119.07000000000001,2,2,1,有,有,13200000,108062,坡道平面,12.65,1700000,,RPURMLPKJHPFFBF88CA
新莊區,房地(土地+建物)+車位,新北市新莊區福營路181~210號,41.26,工,,,1081125,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981016,292.07,7,1,7,有,有,20400000,69846,坡道平面,45.72,0,,RPWQMLQKJHPFFBF09CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,30.35,住,,,1050612,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,172.99,3,2,2,有,有,14350000,88772,坡道平面,28.8,1550000,,RPORMLQKJHPFFBF38CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,30.35,住,,,1050707,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,172.99,3,2,2,有,有,14350000,89119,坡道平面,28.8,1500000,,RPPRMLQKJHPFFBF48CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,35.25,住,,,1050731,土地1建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,200.89,3,2,2,有,有,16300000,92121,坡道平面,57.6,3100000,,RPQRMLQKJHPFFBF58CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,35.14,住,,,1050624,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,200.26,3,2,2,有,有,16300000,93229,坡道平面,57.6,3000000,,RPRRMLQKJHPFFBF68CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,16.45,住,,,1081118,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,93.75,1,1,1,有,有,7600000,89193,坡道平面,26.48,1600000,,RPSRMLQKJHPFFBF78CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,16.85,住,,,1070803,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,96.07,1,1,1,有,有,7320000,90233,坡道平面,28.8,1250000,,RPTRMLQKJHPFFBF88CA
新莊區,房地(土地+建物),新北市新莊區新北大道三段61~90號,8.04,商,,,1081029,土地1建物1車位0,十九層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951005,91.56,2,2,1,有,有,9400000,102665,,0.0,0,,RPURMLQKJHPFFBF98CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,16.45,住,,,1050716,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,93.78999999999999,1,1,1,有,有,7200000,92322,坡道平面,28.8,1200000,,RPVRMLQKJHPFFBF09CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.74,住,,,1050813,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,129.61,2,1,1,有,有,10500000,89277,坡道平面,28.8,1500000,,RPWRMLQKJHPFFBF56CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,23.21,住,,,1080920,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,132.3,2,1,1,有,有,11180000,91594,坡道平面,28.8,1700000,,RPPOMLQKJHPFFBF18CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,23.21,住,,,1050524,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,132.3,2,1,1,有,有,10960000,91787,坡道平面,28.8,1460000,,RPTOMLQKJHPFFBF58CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.81,住,,,1050626,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,129.97,2,1,1,有,有,11100000,91796,坡道平面,26.48,1600000,,RPVOMLQKJHPFFBF78CA
五股區,房地(土地+建物),新北市五股區新五路二段631~660號,18.16,住,,,1071030,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,103.53,2,1,1,有,有,9500000,91761,,0.0,0,,RPXOMLQKJHPFFBF98CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,23.23,住,,,1080422,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,132.4,2,1,1,有,有,10900000,92664,坡道平面,28.8,1300000,,RPOPMLQKJHPFFBF18CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,23.25,住,,,1040925,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,132.54,2,1,1,有,有,11500000,94286,坡道平面,26.48,1500000,,RPQPMLQKJHPFFBF38CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.74,住,,,1050313,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,129.61,2,1,1,有,有,10250000,89773,坡道平面,28.8,1200000,,RPPSMLQKJHPFFBF58CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.74,住,,,1041114,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,129.61,2,1,1,有,有,10600000,90269,坡道平面,28.8,1500000,,RPRSMLQKJHPFFBF78CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.75,住,,,1060322,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,129.65,2,1,1,有,有,11100000,91720,坡道平面,28.8,1850000,,RPSSMLQKJHPFFBF88CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,23.19,住,,,1060319,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,132.16,2,1,1,有,有,11280000,94621,坡道平面,28.8,1500000,,RPTSMLQKJHPFFBF98CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.57,住,,,1060415,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,128.65,2,1,1,有,有,11000000,94141,坡道平面,28.8,1600000,,RPVSMLQKJHPFFBF56CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.57,住,,,1060513,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,128.65,2,1,1,有,有,11000000,95143,坡道平面,28.8,1500000,,RPOTMLQKJHPFFBF58CA
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,22.64,住,,,1070710,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,129.01,2,1,1,有,有,11000000,94801,坡道平面,28.8,1500000,,RPPTMLQKJHPFFBF68CA
