鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東區,房地(土地+建物)+車位,臺中市東區東光園路601~630號,15.64,住,,,1060613,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081028,126.19,2,2,1,有,有,7100000,64192,坡道平面,33.5,1150000,,RPTOMLNKJHPFFAB77CA
東區,房地(土地+建物)+車位,臺中市東區東光園路601~630號,19.94,住,,,1060729,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081028,155.6,3,2,2,有,有,9600000,68387,坡道平面,33.5,1250000,,RPUOMLNKJHPFFAB87CA
東區,房地(土地+建物)+車位,臺中市東區東光園路601~630號,19.94,住,,,1070928,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081028,155.51999999999998,3,2,2,有,有,9400000,66792,坡道平面,33.5,1250000,,RPVOMLNKJHPFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區福田一街181~210號,18.16,住,,,1081116,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080325,128.04,2,2,2,有,有,7270000,65229,坡道平面,35.75,1250000,,RPXOMLNKJHPFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區福田一街181~210號,22.0,住,,,1081102,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080325,147.91,3,2,2,有,有,8900000,68206,坡道平面,35.75,1250000,,RPOPMLNKJHPFFAB37CA
南區,房地(土地+建物),臺中市南區德富路146巷1~30號,13.99,其他,,,1081129,土地1建物1車位0,一層，二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890518,145.33,3,2,2,有,有,8600000,59176,,0.0,0,含增建或未登記建物。;,RPQQMLNKJHPFFAB67CA
南區,房地(土地+建物),臺中市南區南陽街61~90號,21.84,住,,,1081112,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810721,198.85000000000002,4,2,2,有,有,7800000,39226,,0.0,0,,RPVPMLPKJHPFFAB28CA
西區,房地(土地+建物)+車位,臺中市西區五權西三街121~150號,15.88,住,,,1081208,土地3建物1車位1,二十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941117,223.60999999999999,4,2,2,有,有,19200000,84401,坡道平面,19.82,2000000,含增建或未登記建物。,RPPPMLRKJHPFFAB87CA
東區,房地(土地+建物)+車位,臺中市東區和平街228巷1~30號,20.47,住,,,1081027,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820415,121.60999999999999,2,1,2,有,有,2950000,24258,升降機械,0.0,0,受債權債務影響或債務抵償之交易。;,RPQNMLSKJHPFFAB87CA
南區,土地,半平厝段1441~1470地號,166.0,住,,,1081219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10187123,61368,,0.0,0,,RPRNMLSKJHPFFAB97CA
南區,土地,半平厝段1441~1470地號,167.0,住,,,1081219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10248491,61368,,0.0,0,,RPSNMLSKJHPFFAB08CA
南區,土地,半平厝段1441~1470地號,164.0,住,,,1081219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10064386,61368,,0.0,0,,RPTNMLSKJHPFFAB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區遼寧路一段31~60號,26.34,住,,,1081129,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080717,168.22,3,2,2,有,有,11600000,68957,坡道平面,41.27,0,,RPORMLNJJHPFFBB57CA
