鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路301~330號,36.26,住,,,1071011,土地1建物1車位2,十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,264.31,3,2,2,有,有,24020000,96329,坡道平面,46.1,3000000,,RPUNMLKMJHPFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路301~330號,23.94,住,,,1070718,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,171.20999999999998,2,2,2,有,有,15290000,93075,坡道平面,23.05,1500000,,RPVNMLKMJHPFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路271~300號,37.26,住,,,1070530,土地1建物1車位2,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,274.18,2,2,3,有,有,25030000,94835,坡道平面,46.1,3400000,,RPWNMLKMJHPFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路301~330號,36.26,住,,,1050805,土地1建物1車位2,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,265.01,3,2,2,有,有,23800000,93189,坡道平面,46.1,3400000,,RPXNMLKMJHPFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路301~330號,36.26,住,,,1060102,土地1建物1車位2,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,264.31,3,2,2,有,有,21260000,81848,坡道平面,46.1,3400000,,RPOOMLKMJHPFFAH77CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路301~330號,23.94,住,,,1081003,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,171.85,2,2,2,有,有,16640000,101747,坡道平面,23.05,1500000,,RPUOMLKMJHPFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路301~330號,36.26,住,,,1081004,土地1建物1車位2,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,264.31,3,2,2,有,有,24840000,100087,坡道平面,46.1,3000000,,RPWOMLKMJHPFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路301~330號,36.26,住,,,1081006,土地1建物1車位2,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,264.31,3,2,2,有,有,25350000,102424,坡道平面,46.1,3000000,,RPRPMLKMJHPFFAH18CA
桃園區,房地(土地+建物)+車位,桃園市桃園區樹仁三街15巷91~120號,24.84,住,,,1081007,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020420,167.87,3,2,2,有,有,8500000,50634,坡道平面,44.59,0,,RPVQMLMLJHPFFAH78CA
中壢區,土地,大華段751~780地號,156.0,其他,,,1081204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,10769,,0.0,0,包含公共設施保留地之交易。;,RPWUMLMJJHPFFBH56CA
中壢區,土地,老街溪段1051~1080地號,20.2,其他,,,1081223,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,14851,,0.0,0,包含公共設施保留地之交易。;,RPXUMLMJJHPFFBH66CA
觀音區,房地(土地+建物),桃園市觀音區福祥路一段245巷30弄1~30號,87.02,,鄉村區,乙種建築用地,1081121,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701124,101.78,3,2,2,有,無,3930000,38613,,0.0,0,,RPUNMLNJJHPFFBH38CA
觀音區,房地(土地+建物),桃園市觀音區福德街181~210號,49.65,商,,,1081201,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070417,179.45000000000002,3,2,2,有,有,8500000,47367,,0.0,0,,RPTOMLNJJHPFFBH38CA
中壢區,房地(土地+建物),桃園市中壢區中龍街1~30號,83.62,住,,,1081105,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0691118,89.0,5,3,3,有,無,8000000,89888,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPSPMLNJJHPFFBH38CA
